seqnames,start,end,width,strand,source,type,gene_id,gene_type,gene_name,level,tag,hgnc_id,havana_gene,artif_dupl,EntrezID,description,Synonyms,Length,logFC,AveExpr,t,P.Value,adj.P.Val,B,order
chr1,85265776,85276632,10857,-,HAVANA,gene,ENSG00000142867.14,protein_coding,BCL10,2,NA,HGNC:989,OTTHUMG00000009965.5,NA,8915,B-cell CLL/lymphoma 10,CARMEN|CIPER|CLAP|IMD37|c-E10|mE10,10857,0.5448077986709157,5.673560313286606,5.06105498616965,4.10469240482829e-6,0.0054743966857625295,4.085994666263842,13
chr1,159289714,159308224,18511,+,HAVANA,gene,ENSG00000179639.11,protein_coding,FCER1A,2,NA,HGNC:3609,OTTHUMG00000037176.2,NA,2205,Fc fragment of IgE receptor Ia,FCE1A|FcERI,18511,0.9664508854029847,9.403524613022237,4.999506405282799,5.148920116643529e-6,0.006182307983952925,3.593536944973639,14
chr17,46372855,46487141,114287,+,HAVANA,gene,ENSG00000260075.1,unprocessed_pseudogene,NSFP1,2,NA,HGNC:31405,OTTHUMG00000177127.6,NA,728806,N-ethylmaleimide-sensitive factor pseudogene 1,NSFP,114287,-1.1261575957086145,-0.7944607626398184,-4.9558646358381075,6.043041061097055e-6,0.006182307983952925,2.8743036172475867,15
chr14,98972879,98973301,423,-,HAVANA,gene,ENSG00000232573.1,processed_pseudogene,RPL3P4,1,pseudo_consens,HGNC:19805,OTTHUMG00000028964.2,NA,326307,ribosomal protein L3 pseudogene 4,-,423,0.29943258499099734,9.965248754288977,4.95490354803171,6.064353448771573e-6,0.006182307983952925,3.3789413717403374,16
chr6,32628179,32647062,18884,+,HAVANA,gene,ENSG00000196735.13,protein_coding,HLA-DQA1,1,NA,HGNC:4942,OTTHUMG00000031106.9,NA,3117,"major histocompatibility complex, class II, DQ alpha 1",CELIAC1|DQ-A1|HLA-DQA,18884,1.2955818676690063,7.571112838838234,4.940084758422651,6.402442412107528e-6,0.006182307983952925,3.52349056026671,17
chr6,32948613,32969094,20482,-,HAVANA,gene,ENSG00000204257.15,protein_coding,HLA-DMA,2,overlapping_locus,HGNC:4934,OTTHUMG00000031173.9,NA,3108,"major histocompatibility complex, class II, DM alpha",D6S222E|DMA|HLADM|RING6,20482,0.4789128612556386,10.170961086835176,4.9394060769931905,6.418361039978813e-6,0.006182307983952925,3.317049761572541,18
chr11,36269284,36289449,20166,-,HAVANA,gene,ENSG00000110442.12,protein_coding,COMMD9,1,NA,HGNC:25014,OTTHUMG00000166333.3,NA,29099,COMM domain containing 9,C11orf55|HSPC166|LINC00610,20166,0.38970629675428903,7.243107472278824,4.830824887339339,9.533744220154178e-6,0.008051872774416612,3.1474113016580194,19
chr10,47689707,47730436,40730,+,HAVANA,gene,ENSG00000189014.7,unprocessed_pseudogene,SHLD2P3,1,overlapping_locus,HGNC:34038,OTTHUMG00000018121.1,NA,NA,NA,NA,40730,1.02600716132755,-1.171223993202746,4.811789019262588,1.021509666859188e-5,0.008051872774416612,2.176587006118498,20
chr17,75272981,75289510,16530,-,HAVANA,gene,ENSG00000125454.12,protein_coding,SLC25A19,1,NA,HGNC:14409,OTTHUMG00000179607.4,NA,60386,solute carrier family 25 member 19,DNC|MCPHA|MUP1|THMD3|THMD4|TPC,16530,-0.7221066339280968,4.3862476579157015,-4.811410358500783,1.02291222097389e-5,0.008051872774416612,3.265914279801475,21
chr3,185417495,185418778,1284,-,HAVANA,gene,ENSG00000229638.1,processed_pseudogene,RPL4P4,1,pseudo_consens,HGNC:36179,OTTHUMG00000156700.1,NA,647276,ribosomal protein L4 pseudogene 4,RPL4_2_444,1284,0.31385945874063736,8.539079281768602,4.808081744135626,1.0353226999844766e-5,0.008051872774416612,2.973279966603803,22
chr9,34086387,34127399,41013,-,HAVANA,gene,ENSG00000198876.13,protein_coding,DCAF12,2,overlapping_locus,HGNC:19911,OTTHUMG00000019806.5,NA,25853,DDB1 and CUL4 associated factor 12,CT102|KIAA1892|TCC52|WDR40A,41013,-0.8500971746504424,4.81661186456667,-4.799465960111362,1.0681340051423584e-5,0.008051872774416612,3.209511436930055,23
chr1,45550543,45570049,19507,+,HAVANA,gene,ENSG00000117448.14,protein_coding,AKR1A1,1,NA,HGNC:380,OTTHUMG00000007740.4,NA,10327,aldo-keto reductase family 1 member A1,ALDR1|ALR|ARM|DD3|HEL-S-6,19507,0.3775037848509264,7.921691610931092,4.761357447435618,1.2258778473399194e-5,0.008787208301242556,2.8524806913613467,24
chr19,20535825,20565809,29985,-,HAVANA,gene,ENSG00000237440.9,protein_coding,ZNF737,1,overlapping_locus,HGNC:32468,OTTHUMG00000179732.5,NA,100129842,zinc finger protein 737,ZNF102,29985,-1.7179438671499763,0.2048398618697999,-4.752201870215356,1.2670446852639515e-5,0.008787208301242556,2.716095992623698,25
chr15,82750564,82757206,6643,+,HAVANA,gene,ENSG00000250988.7,lncRNA,SNHG21,2,overlapping_locus,HGNC:50284,OTTHUMG00000172404.1,NA,100505616,small nucleolar RNA host gene 21,FSD2-AS1|SCARNA15HG,6643,0.7865730805125428,2.2904376629782695,4.732052309835347,1.362460722965437e-5,0.008993334674104299,2.889071488116115,26
chr5,150401637,150412969,11333,-,HAVANA,gene,ENSG00000019582.17,protein_coding,CD74,2,NA,HGNC:1697,OTTHUMG00000163559.4,NA,972,CD74 molecule,DHLAG|HLADG|II|Ia-GAMMA,11333,0.48107486505020347,15.596614483705673,4.724399923894757,1.40050776445274e-5,0.008993334674104299,2.1682407886285793,27
chr22,41433494,41446801,13308,-,HAVANA,gene,ENSG00000183864.5,protein_coding,TOB2,2,NA,HGNC:11980,OTTHUMG00000150970.4,NA,10766,"transducer of ERBB2, 2",APRO5|TOB4|TOBL|TROB2,13308,-1.1161845311848344,4.123626623505597,-4.709859916689954,1.475680217043621e-5,0.009059408348272277,2.930806020703523,28
chr16,22297375,22335101,37727,+,HAVANA,gene,ENSG00000058600.16,protein_coding,POLR3E,2,NA,HGNC:30347,OTTHUMG00000094779.4,NA,55718,RNA polymerase III subunit E,RPC5|SIN,37727,-0.6242726097597417,4.0022212451020085,-4.702485065600845,1.5153007388389436e-5,0.009059408348272277,2.9296173957477967,29
chr9,33461353,33473930,12578,-,HAVANA,gene,ENSG00000165271.17,protein_coding,NOL6,2,ncRNA_host,HGNC:19910,OTTHUMG00000000394.5,NA,65083,nucleolar protein 6,NRAP|UTP22|bA311H10.1,12578,-1.608339649025622,1.6399171161424777,-4.688593657066042,1.5927715740834444e-5,0.009205157850486253,2.8440148745784715,30
chr1,161152776,161158856,6081,+,HAVANA,gene,ENSG00000143222.12,protein_coding,UFC1,2,NA,HGNC:26941,OTTHUMG00000033155.2,NA,51506,ubiquitin-fold modifier conjugating enzyme 1,HSPC155,6081,0.3891601140026353,7.468261343778344,4.6170543544143845,2.057152274314793e-5,0.01078620456765818,2.400593434943743,31
chr19,36510687,36528271,17585,-,HAVANA,gene,ENSG00000254004.7,protein_coding,ZNF260,2,NA,HGNC:13499,OTTHUMG00000048155.4,NA,339324,zinc finger protein 260,OZRF1|PEX1|ZFP260,17585,-1.2390251390438256,2.4927288303287427,-4.6169043234854374,2.0582529163651384e-5,0.01078620456765818,2.626151624899121,32
chr22,41676745,41677125,381,-,HAVANA,gene,ENSG00000285531.1,processed_pseudogene,ENSG00000285531,2,NA,NA,OTTHUMG00000192632.1,NA,NA,NA,NA,381,0.6419331327483587,1.8167078474247085,4.614581510672863,2.0753667643521085e-5,0.01078620456765818,2.491165759276173,33
chr15,34978341,34988287,9947,-,HAVANA,gene,ENSG00000198146.4,protein_coding,ZNF770,2,NA,HGNC:26061,OTTHUMG00000129689.4,NA,54989,zinc finger protein 770,PRO1914,9947,-0.6313825626774161,4.691200561857659,-4.60924845290692,2.1151860381842087e-5,0.01078620456765818,2.575853005231971,34
chr5,66144156,66144795,640,-,HAVANA,gene,ENSG00000253744.1,lncRNA,ENSG00000253744,2,NA,NA,OTTHUMG00000164088.1,NA,NA,NA,NA,640,-2.378961539129162,-3.868282193285947,-4.566472592733966,2.4626863560809112e-5,0.011867340980465779,1.0152926846592738,35
chr17,18271428,18315007,43580,-,HAVANA,gene,ENSG00000177302.15,protein_coding,TOP3A,2,NA,HGNC:11992,OTTHUMG00000059391.8,NA,7156,DNA topoisomerase III alpha,TOP3|ZGRF7,43580,-0.9733937277822204,3.2479442343520137,-4.556295735445286,2.5532199818007086e-5,0.011867340980465779,2.460865672660356,36
chr2,189441446,189475552,34107,+,HAVANA,gene,ENSG00000115368.10,protein_coding,WDR75,2,NA,HGNC:25725,OTTHUMG00000132660.3,NA,84128,WD repeat domain 75,NET16|UTP17,34107,-0.6575172954511688,4.6377808424659,-4.551801678313624,2.5942238892549463e-5,0.011867340980465779,2.4044462198293433,37
chr19,36034984,36054739,19756,-,HAVANA,gene,ENSG00000161277.11,protein_coding,THAP8,1,NA,HGNC:23191,OTTHUMG00000048138.6,NA,199745,THAP domain containing 8,-,19756,-1.7376187899006523,0.5481579847087055,-4.551067197500918,2.600986026402697e-5,0.011867340980465779,2.2778339339500757,38
chr9,34613545,34620523,6979,-,HAVANA,gene,ENSG00000137100.16,protein_coding,DCTN3,2,NA,HGNC:2713,OTTHUMG00000019830.7,NA,11258,dynactin subunit 3,DCTN-22|DCTN22,6979,0.40099264132146484,6.76634180630782,4.538416330390373,2.7201897849445073e-5,0.01209298730547894,2.1857157864893146,39
chr15,48878134,48880173,2040,+,HAVANA,gene,ENSG00000255302.5,protein_coding,EID1,1,retrogene,HGNC:1191,OTTHUMG00000165911.3,NA,23741,EP300 interacting inhibitor of differentiation 1,C15orf3|CRI1|EID-1|IRO45620|PNAS-22|PTD014|RBP21,2040,0.3162183504855527,8.85808356367233,4.523193350831422,2.8706955866806103e-5,0.012160619894645813,1.9748998752119693,40
chr11,62728069,62740293,12225,+,HAVANA,gene,ENSG00000162222.14,protein_coding,TTC9C,2,NA,HGNC:28432,OTTHUMG00000167607.4,NA,283237,tetratricopeptide repeat domain 9C,-,12225,-0.8235436448212576,3.337770031837909,-4.518834220175971,2.9152664756894023e-5,0.012160619894645813,2.3422320660702196,41
chr3,46353864,46360940,7077,+,HAVANA,gene,ENSG00000121807.7,protein_coding,CCR2,2,NA,HGNC:1603,OTTHUMG00000156466.3,NA,729230,C-C motif chemokine receptor 2,CC-CKR-2|CCR-2|CCR2A|CCR2B|CD192|CKR2|CKR2A|CKR2B|CMKBR2|MCP-1-R,7077,-0.6066591919266262,7.999310304113026,-4.512619146653435,2.979981006784764e-5,0.012160619894645813,1.9702376507743056,42
chr7,44826791,44848087,21297,-,HAVANA,gene,ENSG00000105968.19,protein_coding,H2AZ2,2,NA,HGNC:20664,OTTHUMG00000129217.4,NA,NA,NA,NA,21297,0.4360358277860037,6.937147145474991,4.509220651562071,3.0159571777008302e-5,0.012160619894645813,2.0772497429971235,43
chr4,6640091,6642729,2639,+,HAVANA,gene,ENSG00000179010.16,protein_coding,MRFAP1,2,NA,HGNC:24549,OTTHUMG00000125504.3,NA,93621,Morf4 family associated protein 1,PAM14|PGR1,2639,0.3727557698842574,7.265149557449701,4.500895962385137,3.10587725592107e-5,0.012238568150718072,2.025180584850741,44
chr12,79934901,79942712,7812,+,HAVANA,gene,ENSG00000257557.2,lncRNA,PPP1R12A-AS1,2,NA,HGNC:51903,OTTHUMG00000170083.2,NA,105369865,PPP1R12A antisense RNA 1,R12A-AS1,7812,-2.210938551297706,-2.5808130156106466,-4.491228401121898,3.213579850464069e-5,0.012381566099410228,1.1265843419112187,45
chr1,54756898,54764523,7626,-,HAVANA,gene,ENSG00000162396.6,protein_coding,PARS2,2,NA,HGNC:30563,OTTHUMG00000009915.2,NA,25973,"prolyl-tRNA synthetase 2, mitochondrial",MT-PRORS|proRS,7626,-2.965390773737745,-2.228412078351705,-4.483140108287289,3.306473590690771e-5,0.01246253024247752,1.4793286561970405,46
chr1,93866284,93879918,13635,-,HAVANA,gene,ENSG00000067334.14,protein_coding,DNTTIP2,2,NA,HGNC:24013,OTTHUMG00000010268.7,NA,30836,deoxynucleotidyltransferase terminal interacting protein 2,ERBP|FCF2|HSU15552|LPTS-RP2|TdIF2,13635,0.46605501384031367,8.099565717273924,4.46740056227161,3.4947897401451926e-5,0.012568740101659948,1.8550255488360978,47
chr8,65602458,65634217,31760,-,HAVANA,gene,ENSG00000104442.10,protein_coding,ARMC1,1,NA,HGNC:17684,OTTHUMG00000164374.5,NA,55156,armadillo repeat containing 1,Arcp,31760,-0.48436162269087024,5.117717849724703,-4.465165066584107,3.522368672158223e-5,0.012568740101659948,2.0719896195468506,48
chr1,71395943,72282539,886597,-,HAVANA,gene,ENSG00000172260.15,protein_coding,NEGR1,2,overlapping_locus,HGNC:17302,OTTHUMG00000009698.6,NA,257194,neuronal growth regulator 1,DMML2433|IGLON4|KILON|Ntra,886597,0.8470401459374841,4.648497881483167,4.455232736139597,3.647483454715008e-5,0.012568740101659948,2.103217308682993,49
chr12,112405189,112418838,13650,-,HAVANA,gene,ENSG00000089009.16,protein_coding,RPL6,2,NA,HGNC:10362,OTTHUMG00000169685.4,NA,6128,ribosomal protein L6,L6|SHUJUN-2|TAXREB107|TXREB1,13650,0.29152017764816307,8.500829132029839,4.451601713581144,3.694292789786767e-5,0.012568740101659948,1.752046617946446,50
chr9,70916997,70917501,505,-,HAVANA,gene,ENSG00000224437.2,processed_pseudogene,PIGUP1,1,overlapping_locus,HGNC:45158,OTTHUMG00000019996.2,NA,100422342,phosphatidylinositol glycan anchor biosynthesis class U pseudogene 1,-,505,-1.1827887250013385,-0.9786022527040602,-4.445058780101799,3.780120131864437e-5,0.012568740101659948,1.5209707961753915,51
chr2,213151972,213153661,1690,+,HAVANA,gene,ENSG00000270659.2,lncRNA,ENSG00000270659,2,NA,NA,OTTHUMG00000185233.1,NA,NA,NA,NA,1690,-2.1473836798672026,-2.3300865954682664,-4.4415589029580005,3.826822808802207e-5,0.012568740101659948,1.2987426540587528,52
chr2,53767804,53775196,7393,+,HAVANA,gene,ENSG00000143942.5,protein_coding,CHAC2,2,NA,HGNC:32363,OTTHUMG00000151824.2,NA,494143,ChaC cation transport regulator homolog 2,GCG1,7393,-2.02204916126055,1.4751856723825276,-4.440423078783941,3.842099581197239e-5,0.012568740101659948,1.9736192092545757,53
chr22,44668547,44737681,69135,+,HAVANA,gene,ENSG00000186654.21,protein_coding,PRR5,1,overlapping_locus,HGNC:31682,OTTHUMG00000150460.6,NA,55615,proline rich 5,FLJ20185k|PP610|PROTOR-1|PROTOR1,69135,-2.696411028268055,-2.0046839238432033,-4.426563717925212,4.033350437171616e-5,0.012950042570311385,0.9833061936431609,54
chr11,2944431,2992377,47947,-,HAVANA,gene,ENSG00000205531.14,protein_coding,NAP1L4,2,ncRNA_host,HGNC:7640,OTTHUMG00000011009.12,NA,4676,nucleosome assembly protein 1 like 4,NAP1L4b|NAP2|NAP2L|hNAP2,47947,-0.6240959235596408,6.284248209341847,-4.416660135914045,4.175650591676131e-5,0.013163169083360139,1.7935676338937157,55
chr4,77047155,77076309,29155,-,HAVANA,gene,ENSG00000118816.11,protein_coding,CCNI,1,NA,HGNC:1595,OTTHUMG00000130106.4,NA,10983,cyclin I,CCNI1|CYC1|CYI,29155,0.4565448195284656,8.812853350153137,4.403405493415416,4.3737568470284576e-5,0.013286827962635483,1.5887576799537744,56
chr7,149547154,149624752,77599,-,HAVANA,gene,ENSG00000291118.1,lncRNA,ZNF767P,2,overlaps_pseudogene,NA,NA,NA,79970,"zinc finger family member 767, pseudogene",ZNF767,77599,-2.590406191250237,-0.8055103942900715,-4.3959326925849105,4.489441613910556e-5,0.013286827962635483,1.5696206820197336,57
chr14,72969451,73027131,57681,-,HAVANA,gene,ENSG00000165861.14,protein_coding,ZFYVE1,2,NA,HGNC:13180,OTTHUMG00000171365.3,NA,53349,zinc finger FYVE-type containing 1,DFCP1|PPP1R172|SR3|TAFF1|ZNFN2A1,57681,-1.2187865812200935,2.5511322015656193,-4.393942324649913,4.520752022304323e-5,0.013286827962635483,1.942804365554605,58
chr22,39312882,39320389,7508,-,HAVANA,gene,ENSG00000100316.16,protein_coding,RPL3,1,ncRNA_host,HGNC:10332,OTTHUMG00000151079.10,NA,6122,ribosomal protein L3,ASC-1|L3|TARBP-B,7508,0.23677017080162166,11.604890769350405,4.391895210286272,4.5531763810075574e-5,0.013286827962635483,1.3020072398722853,59
chr16,26032539,26032811,273,-,HAVANA,gene,ENSG00000230330.1,processed_pseudogene,HMGN2P3,1,pseudo_consens,HGNC:33566,OTTHUMG00000059918.1,NA,728632,high mobility group nucleosomal binding domain 2 pseudogene 3,HMGN2L3,273,0.4960539180398502,5.943943402909106,4.389085434486693,4.598048666271364e-5,0.013286827962635483,1.7525043105996447,60
chr21,44107373,44131181,23809,+,HAVANA,gene,ENSG00000241945.8,protein_coding,PWP2,2,NA,HGNC:9711,OTTHUMG00000086893.6,NA,5822,"PWP2, small subunit processome component",EHOC-17|PWP2H|UTP1,23809,-1.393832207144667,1.3264732275474775,-4.37913311024358,4.760469629568256e-5,0.013338090197600091,1.8329377783097716,61
chr6,31158331,31167159,8829,+,HAVANA,gene,ENSG00000137310.13,protein_coding,TCF19,2,NA,HGNC:11629,OTTHUMG00000031274.4,NA,6941,transcription factor 19,SC1|TCF-19,8829,-1.7329156189595578,1.140986047861438,-4.37336584167469,4.857126831955371e-5,0.013338090197600091,1.8363504191806141,62
chr1,45010950,45015575,4626,+,HAVANA,gene,ENSG00000126088.14,protein_coding,UROD,2,NA,HGNC:12591,OTTHUMG00000008949.7,NA,7389,uroporphyrinogen decarboxylase,PCT|UPD,4626,0.29320524971922346,7.293725218055264,4.367313094899979,4.960617725661201e-5,0.013338090197600091,1.5581408493475406,63
chr8,144876497,144902168,25672,-,HAVANA,gene,ENSG00000196150.14,protein_coding,ZNF250,1,NA,HGNC:13044,OTTHUMG00000165252.3,NA,58500,zinc finger protein 250,ZFP647|ZNF647,25672,-1.7707673651633036,0.3399693610946895,-4.362897865468484,5.037457458737942e-5,0.013338090197600091,1.4670494653130453,64
chr5,69362026,69370013,7988,-,HAVANA,gene,ENSG00000273841.6,protein_coding,TAF9,2,overlapping_locus,HGNC:11542,OTTHUMG00000099359.8,NA,6880,TATA-box binding protein associated factor 9,MGC:5067|STAF31/32|TAF2G|TAFII-31|TAFII-32|TAFII31|TAFII32|TAFIID32,7988,0.38373871765375966,6.782124084177955,4.361457892108408,5.062766796191505e-5,0.013338090197600091,1.6014382203143818,65
chr4,65573459,65574328,870,+,HAVANA,gene,ENSG00000243199.1,processed_pseudogene,RPL6P10,1,pseudo_consens,HGNC:36575,OTTHUMG00000157492.1,NA,642828,ribosomal protein L6 pseudogene 10,RPL6_9_488,870,0.2695389926941081,7.774628048118089,4.360630369497093,5.077367360950548e-5,0.013338090197600091,1.505278129704804,66
chr12,76036585,76084735,48151,-,HAVANA,gene,ENSG00000187109.15,protein_coding,NAP1L1,1,NA,HGNC:7637,OTTHUMG00000169786.7,NA,4673,nucleosome assembly protein 1 like 1,NAP1|NAP1L|NRP,48151,0.4245511564028863,7.918703623517119,4.351416399430008,5.24272277319811e-5,0.013566914543538632,1.489672477643917,67
chr20,44195939,44210771,14833,-,HAVANA,gene,ENSG00000132823.11,protein_coding,OSER1,2,NA,HGNC:16105,OTTHUMG00000032518.3,NA,51526,oxidative stress responsive serine rich 1,C20orf111|HSPC207|Osr1|Perit1|dJ1183I21.1,14833,0.5214772274502657,6.521624617803105,4.340574511371559,5.443993156094078e-5,0.013880581373582224,1.5605575188219785,68
chr1,67685201,67688334,3134,+,HAVANA,gene,ENSG00000116717.13,protein_coding,GADD45A,2,NA,HGNC:4095,OTTHUMG00000009374.5,NA,1647,growth arrest and DNA damage inducible alpha,DDIT1|GADD45,3134,0.7636249014594831,4.26749363193113,4.335186202727849,5.546792474414709e-5,0.013927122925565152,1.7363559313033807,69
chr20,17570075,17609919,39845,+,HAVANA,gene,ENSG00000125868.16,protein_coding,DSTN,2,NA,HGNC:15750,OTTHUMG00000031947.10,NA,11034,"destrin, actin depolymerizing factor",ACTDP|ADF|HEL32|bA462D18.2,39845,0.477577236751352,8.027224247614257,4.326680554064941,5.7129097183568045e-5,0.013927122925565152,1.3818179176095224,70
chr7,80369575,80679277,309703,+,HAVANA,gene,ENSG00000135218.19,protein_coding,CD36,1,NA,HGNC:1663,OTTHUMG00000155383.23,NA,948,CD36 molecule,BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3,309703,0.4987738099357344,9.729499085430302,4.326575575621773,5.714989826546227e-5,0.013927122925565152,1.241322446748626,71
chr9,78297125,78330093,32969,+,HAVANA,gene,ENSG00000135069.14,protein_coding,PSAT1,2,NA,HGNC:19129,OTTHUMG00000020066.2,NA,29968,phosphoserine aminotransferase 1,EPIP|NLS2|PSA|PSAT|PSATD,32969,-2.995754458340776,-1.0757162339898714,-4.321122862420315,5.824049506977283e-5,0.013927122925565152,1.2228240584178396,72
chr16,34266041,34268649,2609,-,HAVANA,gene,ENSG00000279800.2,processed_pseudogene,BCLAF1P2,1,pseudo_consens,HGNC:51807,OTTHUMG00000191386.1,NA,731605,BCL2 associated transcription factor 1 pseudogene 2,-,2609,0.5074835788159913,6.3450381413596,4.31559770678932,5.936616617448138e-5,0.013927122925565152,1.4962891656104604,73
chr1,44221070,44355260,134191,-,HAVANA,gene,ENSG00000117419.16,protein_coding,ERI3,2,overlapping_locus,HGNC:17276,OTTHUMG00000007637.7,NA,79033,ERI1 exoribonuclease family member 3,PINT1|PRNPIP,134191,0.326278267898374,6.108558489547358,4.3108874112779745,6.034246295667891e-5,0.013927122925565152,1.4740406709797167,74
chr17,16380798,16382745,1948,+,HAVANA,gene,ENSG00000170315.14,protein_coding,UBB,1,NA,HGNC:12463,OTTHUMG00000058987.7,NA,7314,ubiquitin B,HEL-S-50,1948,0.43780538832458404,10.241635374554122,4.310389896795579,6.0446486875653736e-5,0.013927122925565152,1.1453833048285578,75
chr5,16451519,16465800,14282,-,HAVANA,gene,ENSG00000173545.5,protein_coding,ZNF622,2,NA,HGNC:30958,OTTHUMG00000090567.2,NA,90441,zinc finger protein 622,ZPR9,14282,0.4174573526218177,6.946855561471367,4.307229901859547,6.111127385149502e-5,0.013927122925565152,1.4004064153823466,76
chr1,161159450,161165723,6274,+,HAVANA,gene,ENSG00000143258.17,protein_coding,USP21,2,NA,HGNC:12620,OTTHUMG00000033154.7,NA,27005,ubiquitin specific peptidase 21,USP16|USP23,6274,-0.9416127224407695,3.6703423063667056,-4.303748379306912,6.185191286587362e-5,0.013927122925565152,1.6257368362253484,77
chr1,171781660,171814023,32364,+,HAVANA,gene,ENSG00000010165.20,protein_coding,METTL13,2,overlapping_locus,HGNC:24248,OTTHUMG00000034912.7,NA,51603,methyltransferase like 13,5630401D24Rik|CGI-01|KIAA0859|feat,32364,-0.9111075695415236,3.883295929793058,-4.2962853907734715,6.346899292296649e-5,0.014108017939722986,1.5970557727568,78
